material_name,date,storage,next_day_storage
Aluminum Foil,2023-08-01,197,200.0
Aluminum Foil,2023-08-02,200,192.0
Aluminum Foil,2023-08-03,192,178.0
Aluminum Foil,2023-08-04,178,159.0
Aluminum Foil,2023-08-05,159,156.0
Aluminum Foil,2023-08-06,156,147.0
Aluminum Foil,2023-08-07,147,165.0
Aluminum Foil,2023-08-08,165,171.0
Aluminum Foil,2023-08-09,171,170.0
Aluminum Foil,2023-08-10,170,167.0
Aluminum Foil,2023-08-11,167,168.0
Aluminum Foil,2023-08-12,168,156.0
Aluminum Foil,2023-08-13,156,158.0
Aluminum Foil,2023-08-14,158,173.0
Aluminum Foil,2023-08-15,173,178.0
Aluminum Foil,2023-08-16,178,180.0
Aluminum Foil,2023-08-17,180,180.0
Aluminum Foil,2023-08-18,180,188.0
Aluminum Foil,2023-08-19,188,171.0
Aluminum Foil,2023-08-20,171,179.0
Aluminum Foil,2023-08-21,179,182.0
Aluminum Foil,2023-08-22,182,183.0
Aluminum Foil,2023-08-23,183,189.0
Aluminum Foil,2023-08-24,189,195.0
Aluminum Foil,2023-08-25,195,186.0
Aluminum Foil,2023-08-26,186,184.0
Aluminum Foil,2023-08-27,184,180.0
Aluminum Foil,2023-08-28,180,193.0
Aluminum Foil,2023-08-29,193,200.0
Aluminum Foil,2023-08-30,200,203.0
Aluminum Foil,2023-08-31,203,224.0
Aluminum Foil,2023-09-01,224,228.0
Aluminum Foil,2023-09-02,228,200.0
Aluminum Foil,2023-09-03,200,193.0
Aluminum Foil,2023-09-04,193,199.0
Aluminum Foil,2023-09-05,199,215.0
Aluminum Foil,2023-09-06,215,231.0
Aluminum Foil,2023-09-07,231,212.0
Aluminum Foil,2023-09-08,212,208.0
Aluminum Foil,2023-09-09,208,198.0
Aluminum Foil,2023-09-10,198,192.0
Aluminum Foil,2023-09-11,192,195.0
Aluminum Foil,2023-09-12,195,216.0
Aluminum Foil,2023-09-13,216,217.0
Aluminum Foil,2023-09-14,217,210.0
Aluminum Foil,2023-09-15,210,215.0
Aluminum Foil,2023-09-16,215,204.0
Aluminum Foil,2023-09-17,204,206.0
Aluminum Foil,2023-09-18,206,216.0
Aluminum Foil,2023-09-19,216,227.0
Aluminum Foil,2023-09-20,227,238.0
Aluminum Foil,2023-09-21,238,236.0
Aluminum Foil,2023-09-22,236,235.0
Aluminum Foil,2023-09-23,235,243.0
Aluminum Foil,2023-09-24,243,229.0
Aluminum Foil,2023-09-25,229,245.0
Aluminum Foil,2023-09-26,245,239.0
Aluminum Foil,2023-09-27,239,211.0
Aluminum Foil,2023-09-28,211,177.0
Aluminum Foil,2023-09-29,177,156.0
Aluminum Foil,2023-09-30,156,150.0
Aluminum Foil,2023-10-01,150,132.0
Aluminum Foil,2023-10-02,132,135.0
Aluminum Foil,2023-10-03,135,139.0
Aluminum Foil,2023-10-04,139,160.0
Aluminum Foil,2023-10-05,160,163.0
Aluminum Foil,2023-10-06,163,185.0
Aluminum Foil,2023-10-07,185,206.0
Aluminum Foil,2023-10-08,206,193.0
Aluminum Foil,2023-10-09,193,191.0
Aluminum Foil,2023-10-10,191,198.0
Aluminum Foil,2023-10-11,198,209.0
Aluminum Foil,2023-10-12,209,208.0
Aluminum Foil,2023-10-13,208,198.0
Aluminum Foil,2023-10-14,198,193.0
Aluminum Foil,2023-10-15,193,184.0
Aluminum Foil,2023-10-16,184,203.0
Aluminum Foil,2023-10-17,203,218.0
Aluminum Foil,2023-10-18,218,210.0
Aluminum Foil,2023-10-19,210,246.0
Aluminum Foil,2023-10-20,246,218.0
Aluminum Foil,2023-10-21,218,199.0
Aluminum Foil,2023-10-22,199,210.0
Aluminum Foil,2023-10-23,210,349.0
Aluminum Foil,2023-10-24,349,305.0
Aluminum Foil,2023-10-25,305,275.0
Aluminum Foil,2023-10-26,275,279.0
Aluminum Foil,2023-10-27,279,267.0
Aluminum Foil,2023-10-28,267,242.0
Aluminum Foil,2023-10-29,242,222.0
Aluminum Foil,2023-10-30,222,245.0
Aluminum Foil,2023-10-31,245,510.0
Aluminum Foil,2023-11-01,510,438.0
Aluminum Foil,2023-11-02,438,345.0
Aluminum Foil,2023-11-03,345,307.0
Aluminum Foil,2023-11-04,307,283.0
Aluminum Foil,2023-11-05,283,287.0
Aluminum Foil,2023-11-06,287,288.0
Aluminum Foil,2023-11-07,288,311.0
Aluminum Foil,2023-11-08,311,293.0
Aluminum Foil,2023-11-09,293,285.0
Aluminum Foil,2023-11-10,285,538.0
Aluminum Foil,2023-11-11,538,497.0
